,Date,Internal Displced People
0,2018-07-01,558
1,2018-08-01,3335
2,2018-09-24,669
3,2019-01-27,81964
4,2019-02-28,112057
5,2019-03-25,135589
6,2019-04-30,161217
7,2019-05-24,171994
8,2019-06-30,219756
9,2019-07-25,237769
10,2019-08-30,288994
11,2019-09-16,289591
12,2019-10-02,486360
13,2019-12-09,560033
14,2020-01-27,613792
15,2020-02-14,765517
16,2020-02-29,779741
17,2020-03-25,838543
18,2020-04-22,848329
19,2020-06-07,921471
20,2020-07-09,978744
21,2020-08-08,1013234
22,2020-09-08,1034609
23,2020-11-10,1049767
24,2020-12-31,1074993
25,2021-01-31,1097462
26,2021-02-28,1121960
27,2021-03-31,1147699
28,2021-04-30,1218754
29,2021-05-31,1253416
30,2021-06-30,1312071
31,2021-07-31,1368164
32,2021-08-31,1423378
33,2021-09-30,1407685
34,2021-10-31,1481701
35,2021-11-30,1501775
36,2021-12-31,1579976
37,2022-01-31,1741655
38,2022-02-28,1814283
39,2022-03-31,1849298
40,2022-04-28,1902150
41,2022-04-30,1520012
42,2022-09-30,1719332
43,2022-10-31,1761915
