"Date","Vactions","Demonstrations","Nvsctions","Floods","Storms","Idp"
"2018-07",14,1,1,18,3,27347
"2018-08",13,5,3,211,4,27571
"2018-09",33,6,11,33,0,38982
"2018-10",31,17,12,3,0,39731
"2018-11",37,35,15,0,0,37367
"2018-12",36,15,11,0,0,47826
"2019-01",53,35,4,0,0,81964
"2019-02",40,16,16,0,0,112057
"2019-03",51,8,8,0,0,135589
"2019-04",72,21,8,0,3,161217
"2019-05",43,28,13,4,0,171994
"2019-06",46,14,10,0,0,219756
"2019-07",59,3,15,21,0,237769
"2019-08",45,9,7,11,3,288994
"2019-09",42,9,9,9,0,289591
"2019-10",63,10,8,0,0,486360
"2019-11",54,1,5,0,0,523196
"2019-12",51,9,6,0,0,560033
"2020-01",64,8,12,0,0,613792
"2020-02",53,8,2,0,0,779741
"2020-03",61,21,8,0,0,838543
"2020-04",58,7,17,1,3,848329
"2020-05",83,6,9,0,14,884900
"2020-06",47,7,13,5,10,921471
"2020-07",57,10,22,0,0,978744
"2020-08",52,8,18,0,0,1013234
"2020-09",66,7,8,3,0,1034609
"2020-10",47,4,4,0,0,1042188
"2020-11",37,4,7,0,0,1049767
"2020-12",31,6,5,0,0,1074993
"2021-01",61,4,11,0,0,1097462
"2021-02",50,7,15,0,3,1121960
"2021-03",48,13,10,0,3,1147699
"2021-04",88,11,19,0,3,1218754
"2021-05",125,25,25,4,77,1253416
"2021-06",129,11,25,6,17,1312071
"2021-07",129,42,20,0,0,1368164
"2021-08",123,16,16,60,0,1423378
"2021-09",103,10,31,11,0,1407685
"2021-10",202,9,51,3,0,1481701
"2021-11",102,36,62,0,0,1501775
"2021-12",164,11,59,0,0,1579976
"2022-01",161,21,64,0,0,1741655
"2022-02",190,23,118,0,0,1814283
"2022-03",155,12,93,0,0,1849298
"2022-04",120,6,81,5,0,1520012
"2022-05",147,12,67,0,0,1559876
"2022-06",133,9,48,0,0,1599740
"2022-07",159,7,59,0,0,1639604
"2022-08",131,6,76,11,0,1679468
"2022-09",96,10,81,53,0,1719332
"2022-10",109,38,91,3,0,1761915
"2022-11",6,1,13,0,0,1810105
"2022-12",119,20,78,0,0,1882391
