"EVENT_DATE","Battles","Explosions/Remote violence","Protests","Riots","Strategic developments","Violence against civilians","Floods","Storms","Internal Displaced People"
"2018-01",2,0,4,3,1,1,0,3,
"2018-02",2,0,2,2,2,2,,,
"2018-03",8,2,2,1,1,4,3,0,
"2018-04",4,1,8,0,3,12,0,3,
"2018-05",5,0,4,3,2,9,12,28,
"2018-06",2,1,6,1,1,4,12,18,385
"2018-07",5,0,1,0,1,9,18,3,558
"2018-08",7,3,3,2,3,3,211,4,3335
"2018-09",8,5,4,2,11,20,33,0,669
"2018-10",9,3,16,1,12,19,3,0,
"2018-11",15,2,24,11,15,20,,,
"2018-12",11,4,11,4,11,21,,,
"2019-01",9,3,32,3,4,41,,,81964
"2019-02",20,3,11,5,16,17,,,112057
"2019-03",14,6,5,3,8,31,,,135589
"2019-04",18,2,18,3,8,52,0,3,161217
"2019-05",16,2,23,5,13,25,4,0,171994
"2019-06",17,3,11,3,10,26,,,219756
"2019-07",26,4,3,0,15,29,21,0,237769
"2019-08",15,5,5,4,7,25,11,3,288994
"2019-09",12,5,9,0,9,25,9,0,289591
"2019-10",21,4,10,0,8,38,,,486360
"2019-11",23,6,1,0,5,25,,,
"2019-12",21,9,8,1,6,21,,,560033
"2020-01",15,10,8,0,12,39,,,613792
"2020-02",18,7,5,3,2,28,,,779741
"2020-03",27,4,19,2,8,30,,,838543
"2020-04",28,8,3,4,17,22,1,3,848329
"2020-05",37,12,4,2,9,34,0,14,
"2020-06",20,6,7,0,13,21,5,10,921471
"2020-07",23,7,8,2,22,27,,,978744
"2020-08",19,5,6,2,18,28,,,1013234
"2020-09",22,9,7,0,8,35,3,0,1034609
"2020-10",18,3,3,1,4,26,,,
"2020-11",9,3,2,2,7,25,,,1049767
"2020-12",7,2,5,1,5,22,,,1074993
"2021-01",15,2,3,1,11,44,,,1097462
"2021-02",17,1,5,2,15,32,0,3,1121960
"2021-03",15,2,9,4,10,31,0,3,1147699
"2021-04",20,16,8,3,19,52,0,3,1218754
"2021-05",20,27,14,11,25,78,4,77,1253416
"2021-06",34,26,8,3,25,69,6,17,1312071
"2021-07",20,35,42,0,20,74,,,1368164
"2021-08",34,48,11,5,16,41,60,0,1423378
"2021-09",21,42,5,5,31,40,11,0,1407685
"2021-10",34,82,7,2,51,86,3,0,1481701
"2021-11",35,29,27,9,62,38,,,1501775
"2021-12",39,50,7,4,59,75,,,1579976
"2022-01",56,57,12,9,64,48,,,1741655
"2022-02",50,75,23,0,118,65,,,1814283
"2022-03",51,43,9,3,93,61,,,1849298
"2022-04",40,26,6,0,81,54,5,0,1520012
"2022-05",53,37,8,4,67,57,,,
"2022-06",46,40,4,5,48,47,,,
"2022-07",46,43,5,2,59,70,,,
"2022-08",35,56,4,2,76,40,11,0,
"2022-09",37,25,9,1,81,34,53,0,1719332
"2022-10",36,30,29,9,91,43,3,0,1761915
"2022-11",3,1,1,0,13,2,,,
"2022-12",33,22,15,5,78,64,,,
